cosine_score,mass_difference,node1,node2
0.964,-116.083,42524_pos,45423_pos
0.9626,-58.042,42524_pos,44131_pos
0.9268,-14.016,42524_pos,43178_pos
0.949,-58.042,40278_pos,42524_pos
1,0,40451_pos,40451_pos
0.9636,-88.052,30110_pos,32227_pos
0.9583,-44.026,30110_pos,31837_pos
0.9521,-132.079,30110_pos,32562_pos
0.9578,-62.037,29831_pos,30110_pos
0.9665,-26.016,30110_pos,30879_pos
1,0,46970_pos,46970_pos
1,0,2056_pos,2056_pos
1,0,49383_pos,49383_pos
1,0,18862_pos,18862_pos
0.9254,-14.016,8695_pos,16331_pos
1,0,51233_pos,51233_pos
1,0,50868_pos,50868_pos
0.9307,0,27673_pos,33448_pos
0.9646,-0.036,30391_pos,41526_pos
1,0,16446_pos,16446_pos
0.8386,0.014,6580_pos,7332_pos
0.758,1.003,44372_pos,44736_pos
0.803,-15.018,43863_pos,44372_pos
0.7626,-29.035,42832_pos,44372_pos
0.8649,-58.042,30433_pos,34765_pos
0.9504,-14.017,42832_pos,43863_pos
0.7114,335.184,42832_pos,43908_pos
0.9664,-105.079,31809_pos,32570_pos
0.9587,-220.133,32570_pos,32726_pos
0.9657,-132.079,29582_pos,32570_pos
0.9656,132.081,32379_pos,32570_pos
0.9668,88.053,32134_pos,32570_pos
0.9688,-88.053,31717_pos,32570_pos
0.9699,-17.026,32556_pos,32570_pos
0.9576,-105.079,29950_pos,32570_pos
1,0,17275_pos,17275_pos
0.9166,-58.042,35465_pos,39803_pos
0.9341,-58.006,39803_pos,41109_pos
0.9433,-58.042,39803_pos,42411_pos
0.934,-14.016,39803_pos,42812_pos
0.9592,-58.042,37036_pos,39803_pos
0.948,-290.173,39803_pos,46821_pos
0.9207,7.917,10815_pos,49407_pos
1,0,26585_pos,26585_pos
1,0,397_pos,397_pos
1,0,3617_pos,3617_pos
0.9145,-20.083,22571_pos,29612_pos
0.942,-104.999,22571_pos,39191_pos
0.9643,-20.026,22571_pos,41308_pos
0.9059,-20.029,22571_pos,30065_pos
0.9201,97.053,17320_pos,22571_pos
0.9182,-120.042,22571_pos,28672_pos
0.945,25.979,22571_pos,41289_pos
0.9432,-4.031,22571_pos,35005_pos
0.9193,-12,49552_pos,49729_pos
0.9581,-0.069,1952_pos,2004_pos
0.7609,-15.995,1952_pos,3928_pos
0.708,-15.995,1101_pos,1952_pos
0.8912,-185.138,28551_pos,29034_pos
0.7323,0.001,28961_pos,29034_pos
0.7235,-86.049,28920_pos,29034_pos
1,0,20229_pos,20229_pos
0.7023,-56.099,31980_pos,33141_pos
0.9343,-56.063,31980_pos,33129_pos
1,0,20475_pos,20475_pos
1,0,43853_pos,43853_pos
1,0,39823_pos,39823_pos
0.963,0,52404_pos,53577_pos
0.8811,-56.026,18066_pos,23408_pos
0.8858,-26.016,21006_pos,23408_pos
1,0,42988_pos,42988_pos
1,0,10172_pos,10172_pos
0.7302,58.006,36672_pos,37918_pos
0.7491,-86.037,37918_pos,42854_pos
0.7231,-60.021,36715_pos,37918_pos
0.727,60.02,37918_pos,41667_pos
0.89,0.007,643_pos,907_pos
1,-0.007,907_pos,947_pos
1,0,36032_pos,36032_pos
1,0,48498_pos,48498_pos
0.8876,-132.079,15556_pos,19324_pos
0.9499,-44.026,18425_pos,19324_pos
0.962,-44.026,19324_pos,19352_pos
0.9345,88.053,17017_pos,19324_pos
0.9591,0,17496_pos,19324_pos
0.8942,-132.079,19324_pos,20979_pos
0.955,44.026,17692_pos,19324_pos
0.9396,-88.053,19324_pos,20217_pos
0.9045,15.995,4184_pos,9484_pos
1,0,1219_pos,1219_pos
0.9036,-72.021,16659_pos,20814_pos
0.8537,148.074,16659_pos,16993_pos
0.8565,-232.168,4657_pos,16659_pos
0.8672,31.99,16659_pos,25515_pos
0.9054,-174.125,7142_pos,16659_pos
0.9319,-58.042,12909_pos,16659_pos
0.8982,-13.979,16659_pos,17548_pos
0.8932,-44.062,13585_pos,16659_pos
0.9564,0,53019_pos,53878_pos
0.9473,-44.026,52828_pos,53019_pos
0.9502,-88.052,52217_pos,53019_pos
0.9501,-44.026,53019_pos,53247_pos
0.9361,0,53019_pos,54378_pos
0.9487,0,53019_pos,53572_pos
0.7682,-72.058,49342_pos,50896_pos
1,0,47474_pos,47474_pos
1,0,38219_pos,38219_pos
0.8667,-44.026,21049_pos,22301_pos
0.8891,-44.027,20421_pos,21049_pos
0.8707,-88.053,19294_pos,21049_pos
0.9723,-44.026,20817_pos,24087_pos
0.971,0,20332_pos,24087_pos
0.9506,-44.026,24087_pos,24586_pos
0.9723,-44.026,23479_pos,24087_pos
0.9575,-88.052,23536_pos,24087_pos
0.9424,-36.109,24087_pos,48410_pos
0.9519,-132.078,22219_pos,24087_pos
0.9478,-132.078,18548_pos,24087_pos
0.9619,-88.052,17801_pos,24087_pos
0.8811,-14.016,32321_pos,41302_pos
0.8907,-28.031,10324_pos,32321_pos
0.8423,-42.047,43743_pos,48628_pos
0.8856,-28.031,45840_pos,48628_pos
0.89,30.011,46095_pos,49747_pos
0.9506,0,37546_pos,46095_pos
0.9628,0,42516_pos,46095_pos
0.8384,0,831_pos,1267_pos
0.7165,0.014,1267_pos,2469_pos
0.9147,-118.063,3413_pos,4496_pos
0.9126,-44.026,3413_pos,4376_pos
0.9034,-162.09,3413_pos,5423_pos
0.9156,-162.089,3413_pos,6644_pos
0.9612,-17.027,3411_pos,3413_pos
0.9428,-27,3413_pos,4368_pos
0.9235,-72.057,3413_pos,4351_pos
0.9737,28.031,3340_pos,3413_pos
0.7095,-17.027,10908_pos,11021_pos
1,0,50958_pos,50958_pos
0.8743,-62.037,31975_pos,33115_pos
0.8901,12,4225_pos,4383_pos
1,0,7866_pos,7866_pos
0.8041,-201.01,34804_pos,43627_pos
1,0,49541_pos,49541_pos
0.8341,-35.005,4651_pos,30578_pos
0.8757,26.015,5398_pos,30578_pos
0.9765,0,53166_pos,53630_pos
0.9713,0,52450_pos,53630_pos
0.9463,0,53630_pos,54728_pos
0.9244,-44.027,53630_pos,54026_pos
0.9678,0,53630_pos,54014_pos
0.919,44.026,52639_pos,53630_pos
0.9295,-0.001,53630_pos,54791_pos
0.7973,-44.026,659_pos,1318_pos
0.7929,-60.021,1055_pos,1318_pos
0.8676,-44.026,1318_pos,1935_pos
0.8038,-58.006,1318_pos,2086_pos
0.8929,-44.026,1050_pos,1318_pos
0.8625,0,681_pos,1318_pos
0.832,-88.052,835_pos,1318_pos
0.9323,-14.016,3341_pos,3861_pos
0.9483,0,40381_pos,42592_pos
0.912,0,37207_pos,37646_pos
0.9123,0,32568_pos,37646_pos
0.9119,0,6303_pos,7721_pos
0.9742,0,712_pos,1213_pos
0.7185,0.036,414_pos,478_pos
0.7022,-33.021,1859_pos,1958_pos
0.7539,-6.011,1094_pos,1958_pos
0.9544,132.079,47823_pos,48077_pos
0.9641,132.079,47575_pos,47823_pos
0.9335,220.131,47371_pos,47823_pos
0.9735,44.026,47744_pos,47823_pos
0.9765,44.026,47823_pos,47921_pos
0.9341,-104.062,47823_pos,49699_pos
1,0,36714_pos,36714_pos
1,0,41063_pos,41063_pos
1,0,38106_pos,38106_pos
1,0,961_pos,961_pos
0.9454,0,2541_pos,10648_pos
1,0,39018_pos,39018_pos
0.9276,0,32442_pos,35366_pos
0.9511,0,32442_pos,33343_pos
0.9119,0,32442_pos,37643_pos
0.9442,0.058,44343_pos,45594_pos
0.9025,0,9508_pos,15681_pos
1,0,39164_pos,39164_pos
1,0,1061_pos,1061_pos
0.9462,0.087,12348_pos,13128_pos
0.9269,-0.087,13128_pos,15596_pos
0.8823,-28.031,44094_pos,44785_pos
0.8242,28.068,43781_pos,44094_pos
0.8956,44.026,11593_pos,12706_pos
0.8868,-44.026,12706_pos,13572_pos
0.9566,0,10853_pos,12706_pos
0.897,1.998,131_pos,154_pos
0.821,-18.011,93_pos,154_pos
0.8636,-15.978,154_pos,210_pos
0.9695,0.011,11431_pos,11751_pos
0.9559,0.051,6953_pos,7024_pos
0.9647,0,33756_pos,35279_pos
0.9372,0,35279_pos,36421_pos
0.9355,0,32323_pos,35279_pos
0.9291,0.006,7546_pos,10646_pos
0.9258,0.006,7546_pos,22039_pos
0.9077,0,43630_pos,45217_pos
0.7371,60.021,40672_pos,47593_pos
0.7103,60.021,40672_pos,40691_pos
0.9587,88.053,47921_pos,48077_pos
0.9445,264.157,47575_pos,48077_pos
0.9234,116.069,44059_pos,48077_pos
0.9601,176.105,47744_pos,48077_pos
1,0,38429_pos,38429_pos
1,0,13706_pos,13706_pos
1,0,2018_pos,2018_pos
0.9125,-14.016,45921_pos,53165_pos
0.9041,0,44202_pos,45921_pos
0.9103,0,13598_pos,14627_pos
1,0,6888_pos,6888_pos
0.9403,-14.016,19779_pos,26720_pos
0.8333,1.031,10302_pos,26720_pos
0.7722,1.031,12119_pos,26720_pos
0.91,-14.016,25706_pos,26720_pos
0.843,-158.095,13907_pos,26720_pos
0.8395,-142.1,8225_pos,26720_pos
0.9059,-14.015,24632_pos,28679_pos
0.9543,-88.052,21847_pos,24632_pos
0.8902,27.995,21358_pos,24632_pos
1,0,14726_pos,14726_pos
1,0,44533_pos,44533_pos
1,0,28719_pos,28719_pos
1,0,46993_pos,46993_pos
0.8449,-2.016,21752_pos,25979_pos
0.7729,-14.016,10963_pos,18107_pos
1,0,43887_pos,43887_pos
1,0,7425_pos,7425_pos
0.8197,132.067,29341_pos,30195_pos
0.8422,-88.065,29046_pos,30195_pos
0.8281,176.094,29669_pos,30195_pos
0.7249,-132.09,27427_pos,30195_pos
0.8628,88.041,29888_pos,30195_pos
1,0,34364_pos,34364_pos
0.9498,0,52606_pos,53727_pos
0.9249,-0.001,53727_pos,54811_pos
0.907,0.001,48816_pos,53727_pos
0.8997,44.025,53727_pos,54813_pos
0.9576,0,53285_pos,53727_pos
0.9462,0,53727_pos,54547_pos
1,0,16575_pos,16575_pos
0.9079,-113.083,8656_pos,10688_pos
0.8992,-114.067,8656_pos,14096_pos
0.9553,0,6749_pos,8719_pos
0.9023,0,8719_pos,10354_pos
1,0,3486_pos,3486_pos
0.8772,0,37958_pos,39477_pos
0.8918,-281.183,48443_pos,48554_pos
0.896,44.026,48554_pos,48575_pos
0.8554,-457.288,47727_pos,48554_pos
0.8862,-325.21,48308_pos,48554_pos
0.8692,-413.262,47948_pos,48554_pos
0.881,44.026,48461_pos,48554_pos
0.8651,-369.236,48173_pos,48554_pos
0.9598,-132.079,43114_pos,44059_pos
0.9679,88.052,44059_pos,44139_pos
0.9653,44.026,44059_pos,44082_pos
0.956,176.105,44059_pos,44191_pos
0.9217,308.184,44059_pos,44267_pos
0.9573,88.052,43356_pos,44059_pos
0.9444,264.157,44059_pos,44225_pos
0.9556,44.026,44033_pos,44059_pos
0.9455,-220.131,43565_pos,44059_pos
1,0,30212_pos,30212_pos
0.7889,-44.026,18658_pos,20471_pos
0.871,-105.079,20471_pos,24511_pos
0.8946,17.029,20038_pos,20471_pos
0.9334,0,15297_pos,17956_pos
0.9423,0,17956_pos,19456_pos
0.9268,0,12527_pos,17956_pos
0.9046,14.016,18040_pos,23111_pos
0.9367,0,18040_pos,22458_pos
0.9077,-14.016,18040_pos,29620_pos
0.9025,-0.036,18029_pos,18040_pos
0.9154,-14.016,18040_pos,26139_pos
1,0,44778_pos,44778_pos
0.848,13.979,11439_pos,11525_pos
0.9108,-12,2956_pos,28147_pos
0.9036,76.054,19125_pos,28147_pos
0.8984,-30.01,19003_pos,28147_pos
0.9203,-76.053,28147_pos,29394_pos
0.9216,-12,2341_pos,28147_pos
0.9241,-12,8691_pos,28147_pos
0.8961,-76.052,28147_pos,30214_pos
0.9197,-11.998,11241_pos,28147_pos
0.938,30.01,28147_pos,28160_pos
0.9767,0,30210_pos,31574_pos
0.9253,-28.031,30210_pos,40935_pos
1,0,25076_pos,25076_pos
0.7396,61.971,403_pos,411_pos
0.7516,-6.017,406_pos,411_pos
0.7585,0,52241_pos,53541_pos
0.7983,0,52241_pos,52608_pos
0.7147,0,52241_pos,53861_pos
0.7343,0.019,21634_pos,52241_pos
0.7737,0.019,19515_pos,52241_pos
1,0,457_pos,457_pos
0.7808,-154.1,35128_pos,45739_pos
0.7414,243.147,32008_pos,32154_pos
0.9498,13.979,50404_pos,50818_pos
0.8663,-44.026,50404_pos,50538_pos
1,0,30993_pos,30993_pos
0.802,-2.016,16098_pos,18868_pos
0.8683,18.011,12976_pos,16098_pos
0.7946,-282.168,16098_pos,16591_pos
0.8375,150.09,14483_pos,16098_pos
0.83,194.116,15687_pos,16098_pos
0.8405,-88.053,16098_pos,18063_pos
0.8553,238.142,15379_pos,16098_pos
0.8054,-26.016,12492_pos,16098_pos
0.9517,0,25952_pos,30332_pos
0.9667,-46.006,41245_pos,41317_pos
0.8043,-1.003,41317_pos,41380_pos
0.9307,-117.079,41271_pos,41317_pos
1,0,9405_pos,9405_pos
0.8781,-88.052,20421_pos,22301_pos
0.9047,-44.026,19294_pos,20421_pos
0.9054,13.979,51977_pos,52301_pos
0.8515,-13.979,51973_pos,51977_pos
0.8602,-126.104,33025_pos,50594_pos
0.8536,-126.104,32200_pos,50594_pos
0.9085,-84.094,41966_pos,50594_pos
0.8391,-12.073,44245_pos,50594_pos
0.8234,126.104,50594_pos,50648_pos
0.8381,-126.104,35391_pos,50594_pos
0.9264,0,28359_pos,31376_pos
0.9192,0,31376_pos,35946_pos
0.904,0,31376_pos,36897_pos
1,0,8422_pos,8422_pos
0.8326,0,22072_pos,28585_pos
0.928,-58.042,32928_pos,37393_pos
0.9611,0,33260_pos,37393_pos
0.7612,28.031,55264_pos,55296_pos
1,0,51904_pos,51904_pos
0.7649,-0.046,22154_pos,25727_pos
0.777,18.011,11618_pos,22154_pos
0.7433,18.015,13497_pos,22154_pos
1,0,23761_pos,23761_pos
0.7608,-54.047,9284_pos,22277_pos
0.7236,-160.038,9284_pos,20414_pos
0.8177,-18.011,41394_pos,42293_pos
0.9736,-132.079,3445_pos,7412_pos
0.9876,-88.052,3445_pos,6383_pos
0.9534,-44.026,2500_pos,3445_pos
0.958,-44.026,14965_pos,15957_pos
0.9654,44.026,14197_pos,15957_pos
0.9498,-44.026,13083_pos,15957_pos
0.9591,0,13234_pos,15957_pos
0.9535,17.027,15909_pos,15957_pos
0.9617,-44.026,15957_pos,17091_pos
0.9586,-27,13200_pos,15957_pos
0.9491,-61.053,15957_pos,17034_pos
0.8665,-387.121,51414_pos,51858_pos
0.8848,-296.075,51764_pos,51858_pos
0.9071,222.057,51858_pos,52001_pos
0.8847,164.069,51858_pos,54765_pos
0.9206,0,51763_pos,51858_pos
0.9176,148.038,51858_pos,52766_pos
0.9077,-176.105,31676_pos,32091_pos
0.9013,-132.079,31676_pos,32851_pos
0.9493,-44.026,31676_pos,32307_pos
0.7732,-30.011,37125_pos,39763_pos
0.8356,0,37125_pos,39012_pos
0.7859,-136.052,24007_pos,37125_pos
0.8702,30.011,37125_pos,40005_pos
0.8033,-81.983,4382_pos,37125_pos
0.8557,18.008,17168_pos,17592_pos
0.9313,-0.036,17592_pos,30287_pos
0.9654,0,14613_pos,17592_pos
0.8723,-0.036,17592_pos,29463_pos
1,0,24322_pos,24322_pos
1,0,2229_pos,2229_pos
0.8021,-58.006,43316_pos,44145_pos
0.7726,-176.105,43316_pos,43567_pos
0.8061,-132.079,43316_pos,43656_pos
0.8087,30.047,43316_pos,43934_pos
0.8467,-13.979,43316_pos,44130_pos
1,0,6570_pos,6570_pos
1,0,41564_pos,41564_pos
1,0,8558_pos,8558_pos
1,0,5526_pos,5526_pos
1,0,41292_pos,41292_pos
0.8277,0,33783_pos,37636_pos
0.7027,-84.032,1468_pos,2529_pos
0.7928,-72.033,2529_pos,3604_pos
0.9247,-5.116,6567_pos,11554_pos
0.9234,-5.116,5069_pos,11554_pos
1,0,7836_pos,7836_pos
1,0,44027_pos,44027_pos
1,0,37444_pos,37444_pos
1,0,54576_pos,54576_pos
1,0,8117_pos,8117_pos
0.7578,218.152,33583_pos,33616_pos
1,0,46322_pos,46322_pos
1,0,1661_pos,1661_pos
0.9258,-58.039,44692_pos,46031_pos
1,0,47666_pos,47666_pos
1,0,27859_pos,27859_pos
1,0,10315_pos,10315_pos
0.8945,-44.026,55426_pos,55436_pos
0.8358,-44.026,51700_pos,52095_pos
1,0,22794_pos,22794_pos
0.8273,15.995,6602_pos,10938_pos
0.7944,15.995,5565_pos,10938_pos
0.7892,42.962,1027_pos,10938_pos
0.8285,110.048,9566_pos,10938_pos
1,0,46079_pos,46079_pos
0.8035,-88.052,2921_pos,4057_pos
0.8345,-44.026,3518_pos,4057_pos
1,0,34623_pos,34623_pos
1,0,6320_pos,6320_pos
0.8205,-176.105,21163_pos,25174_pos
0.8792,-44.026,19834_pos,21163_pos
0.8833,-88.052,21163_pos,23457_pos
0.8638,-132.078,21163_pos,24290_pos
0.8929,-44.026,21163_pos,22499_pos
0.8545,0,29259_pos,31275_pos
0.7779,-101.995,3240_pos,19060_pos
0.8925,0,17525_pos,19060_pos
0.7914,-76.016,17663_pos,19060_pos
0.8561,-44.026,808_pos,835_pos
0.8548,44.026,659_pos,835_pos
0.8934,-44.026,835_pos,1050_pos
0.8651,88.052,681_pos,835_pos
0.9048,0,37500_pos,38523_pos
0.7516,-42.047,10595_pos,24545_pos
0.9247,-88.052,10119_pos,12086_pos
0.9216,-44.026,12086_pos,13231_pos
0.985,0,12086_pos,13220_pos
0.8389,-14.016,5983_pos,9250_pos
0.8412,-111.069,5983_pos,7934_pos
0.8433,-111.069,5983_pos,8761_pos
0.9028,0.113,5983_pos,7229_pos
0.8963,45.058,5949_pos,5983_pos
0.9587,0,42629_pos,44327_pos
0.9847,44.026,6361_pos,6557_pos
0.9822,-88.053,6557_pos,8352_pos
0.9866,-88.053,6557_pos,17506_pos
0.9816,0,5305_pos,6557_pos
0.9909,0,4109_pos,6557_pos
0.9812,-44.026,4191_pos,6557_pos
0.9899,-44.026,6557_pos,7445_pos
0.8983,44.026,50166_pos,50248_pos
0.9214,-104.062,48306_pos,50166_pos
0.7251,-156.042,42152_pos,42348_pos
0.7587,-82.005,42152_pos,44543_pos
0.7455,-271.178,42152_pos,51626_pos
0.8783,-27.995,1475_pos,1974_pos
0.8313,-42.011,1475_pos,2732_pos
0.864,-44.026,1055_pos,1475_pos
0.82,-28.031,1263_pos,1475_pos
0.8987,-13.979,1475_pos,1619_pos
0.8246,-44.026,1475_pos,2121_pos
0.7123,0,20318_pos,26694_pos
1,0,45850_pos,45850_pos
0.9792,0,13735_pos,17458_pos
0.8777,2.016,19126_pos,20080_pos
0.8735,148.074,48076_pos,50373_pos
0.8563,44.026,50373_pos,50439_pos
0.9031,60.022,48183_pos,50373_pos
1,0,46129_pos,46129_pos
1,0,25470_pos,25470_pos
0.9247,0,14019_pos,33623_pos
0.9096,45.058,9558_pos,9676_pos
0.9366,0,7948_pos,9676_pos
0.8004,-45.058,9676_pos,11949_pos
0.7791,-67.042,6441_pos,9676_pos
1,0,34169_pos,34169_pos
0.9058,-88.052,35723_pos,36555_pos
0.9234,-176.105,35723_pos,36332_pos
0.9391,-132.077,35723_pos,36145_pos
0.9463,0,33637_pos,35723_pos
0.929,-88.053,34963_pos,35723_pos
0.935,-14.016,32307_pos,35723_pos
0.9701,-44.026,35723_pos,35788_pos
0.8597,60.021,23339_pos,36562_pos
0.8583,-60.058,19154_pos,23339_pos
0.8415,-12.003,8538_pos,28341_pos
0.9668,-71.026,15564_pos,18217_pos
0.9598,105.079,18217_pos,18705_pos
0.9585,0,18217_pos,20347_pos
0.9645,44.026,18217_pos,19494_pos
0.9698,-88.053,15578_pos,18217_pos
0.9647,17.027,16952_pos,18217_pos
1,0,28797_pos,28797_pos
1,0,24418_pos,24418_pos
0.887,132.079,48325_pos,48647_pos
0.8947,176.105,48325_pos,48735_pos
1,0,30819_pos,30819_pos
1,0,4085_pos,4085_pos
0.9417,-88.054,52895_pos,55274_pos
0.935,-44.026,55266_pos,55274_pos
0.9364,-88.053,52109_pos,55274_pos
0.948,-88.053,53338_pos,55274_pos
0.9444,-44.026,48473_pos,55274_pos
0.9443,-0.002,48460_pos,55274_pos
0.9454,44.026,48283_pos,55274_pos
0.9348,-88.053,53547_pos,55274_pos
0.7499,15.995,34508_pos,41021_pos
0.7844,29.974,34508_pos,42238_pos
0.7796,15.995,34508_pos,39430_pos
1,0,39942_pos,39942_pos
1,0,11029_pos,11029_pos
1,0,6856_pos,6856_pos
1,0,2485_pos,2485_pos
1,0,9182_pos,9182_pos
0.9535,-264.157,42086_pos,42256_pos
0.9838,-88.052,42196_pos,42256_pos
0.9824,-132.079,42225_pos,42256_pos
0.9761,-176.105,42131_pos,42256_pos
0.9817,-44.026,42220_pos,42256_pos
0.9396,-132.079,47948_pos,48443_pos
0.7298,-372.182,42900_pos,47948_pos
0.8943,-369.236,47948_pos,48575_pos
0.9521,-88.052,47948_pos,48308_pos
0.9524,-44.026,47727_pos,47948_pos
0.8886,-457.288,47948_pos,48461_pos
0.7506,-256.098,46403_pos,47948_pos
0.9399,-44.026,47948_pos,48173_pos
1,0,34901_pos,34901_pos
1,0,2303_pos,2303_pos
0.9654,0.008,4152_pos,4838_pos
0.8493,2.016,40000_pos,42018_pos
0.7646,114.069,42018_pos,47946_pos
1,0,50794_pos,50794_pos
0.9495,-44.026,8118_pos,8194_pos
0.8811,-44.026,8194_pos,8993_pos
0.92,88.052,8194_pos,8655_pos
0.9,-104.047,6727_pos,8194_pos
1,0,46351_pos,46351_pos
0.9727,44.026,48647_pos,48735_pos
0.9084,193.132,48647_pos,49063_pos
0.9229,-14.016,47279_pos,48647_pos
0.939,132.079,48647_pos,48954_pos
0.9615,-44.026,32929_pos,33085_pos
0.9612,-88.051,32726_pos,33085_pos
0.9577,132.079,33085_pos,33462_pos
1,0,44244_pos,44244_pos
1,0,33755_pos,33755_pos
1,0,35776_pos,35776_pos
1,0,27671_pos,27671_pos
0.8797,-88.053,27684_pos,29790_pos
0.9466,-94.151,18775_pos,49007_pos
0.9483,44.027,49007_pos,49098_pos
0.9575,-6.098,19907_pos,49007_pos
0.9696,-6.099,24130_pos,49007_pos
0.9483,-58.221,21767_pos,49007_pos
0.9608,44.026,48937_pos,49007_pos
0.9444,-138.177,21710_pos,49007_pos
0.9649,-50.124,19351_pos,49007_pos
0.9446,-182.203,17581_pos,49007_pos
0.9641,88.053,49007_pos,49155_pos
0.7228,-27.995,7657_pos,12064_pos
0.7078,0.203,7919_pos,12064_pos
0.7246,-27.844,8146_pos,12064_pos
0.7765,-14.016,12064_pos,16142_pos
1,0,45343_pos,45343_pos
0.847,-14.016,47507_pos,48714_pos
0.8034,13.979,50345_pos,50444_pos
0.7206,-14.052,49333_pos,50444_pos
0.8151,-70.041,50444_pos,51429_pos
0.8237,-28.032,49370_pos,50444_pos
0.8014,-42.01,50444_pos,51044_pos
0.7885,-72.094,12027_pos,13101_pos
0.7667,-148.073,13101_pos,17163_pos
0.8582,-142.136,2091_pos,14194_pos
0.8152,-232.168,2456_pos,14194_pos
0.8496,-84.094,3927_pos,14194_pos
0.847,45.969,8997_pos,14194_pos
0.8122,-58.042,10643_pos,14194_pos
0.9012,42.01,29853_pos,35797_pos
1,0,7233_pos,7233_pos
0.9107,-116.084,24104_pos,32750_pos
0.895,-174.125,24104_pos,36229_pos
0.8738,17.027,24104_pos,24916_pos
0.947,-58.042,24104_pos,28816_pos
0.8439,-58.005,24104_pos,28435_pos
0.8448,-75.069,18535_pos,24104_pos
1,0,1429_pos,1429_pos
0.7414,0.057,5746_pos,6656_pos
0.9284,-44.026,6656_pos,8161_pos
0.9336,-13.979,6105_pos,6656_pos
0.9419,0,17861_pos,22223_pos
0.9459,0,12632_pos,17861_pos
0.9425,0,17861_pos,20055_pos
0.9499,0,17861_pos,24503_pos
0.806,-14.016,12635_pos,27458_pos
1,0,42527_pos,42527_pos
1,0,28258_pos,28258_pos
0.969,-0.036,27211_pos,41248_pos
0.8707,0.005,25077_pos,26565_pos
0.8468,-2.016,1380_pos,1784_pos
0.8817,0,1380_pos,1812_pos
1,0,26430_pos,26430_pos
1,0,41143_pos,41143_pos
1,0,11176_pos,11176_pos
0.7075,-14.016,38876_pos,41230_pos
1,0,7144_pos,7144_pos
0.8898,-350.231,37825_pos,46821_pos
0.8885,-118.063,37825_pos,41109_pos
0.9616,44.026,31157_pos,31809_pos
0.9584,-44.026,29950_pos,31157_pos
1,0,46502_pos,46502_pos
0.8165,0.036,38_pos,85_pos
0.9884,0,42576_pos,43322_pos
1,0,15635_pos,15635_pos
1,0,14643_pos,14643_pos
1,0,50764_pos,50764_pos
0.9237,-2.016,9582_pos,14883_pos
0.9514,0,14883_pos,17073_pos
0.9114,44.026,50825_pos,50874_pos
1,0,17575_pos,17575_pos
0.9415,-18.011,165_pos,210_pos
0.9685,23.016,165_pos,212_pos
0.8253,-41.027,145_pos,165_pos
0.9599,72.954,84_pos,165_pos
0.8522,-41.027,165_pos,193_pos
0.8569,-15.978,165_pos,283_pos
0.8079,-36.985,165_pos,169_pos
0.9633,-0.036,27696_pos,41396_pos
0.8189,13.979,44713_pos,45553_pos
0.9424,-42.047,6262_pos,12926_pos
0.9221,-0.973,12926_pos,41705_pos
0.8818,-36.011,3385_pos,12926_pos
0.9499,-18.022,7880_pos,12926_pos
0.9462,52.043,12926_pos,35411_pos
0.8833,-0.995,12685_pos,12926_pos
0.8661,58.042,39334_pos,50300_pos
0.8821,-90.047,39334_pos,48305_pos
0.8312,129.958,393_pos,406_pos
0.8354,61.971,393_pos,403_pos
0.8612,355.862,317_pos,393_pos
0.7317,-6.017,393_pos,407_pos
0.7638,77.948,393_pos,422_pos
1,0,35820_pos,35820_pos
0.984,-116.084,40208_pos,44038_pos
0.9806,-58.042,40208_pos,41401_pos
0.9772,-232.167,23459_pos,40208_pos
0.9722,-174.125,29222_pos,40208_pos
0.9677,-191.152,27480_pos,40208_pos
0.9634,-174.126,40208_pos,45032_pos
1,0,10300_pos,10300_pos
1,0,43554_pos,43554_pos
1,0,15882_pos,15882_pos
1,0,1040_pos,1040_pos
1,0,35413_pos,35413_pos
0.9069,88.052,54048_pos,54843_pos
0.7601,0,40157_pos,41504_pos
0.7216,15.995,40157_pos,45193_pos
0.8485,44.026,37289_pos,40157_pos
0.8107,-71.026,18391_pos,20618_pos
0.8323,17.026,19973_pos,20618_pos
1,0,41774_pos,41774_pos
1,0,39824_pos,39824_pos
1,0,3316_pos,3316_pos
1,0,54877_pos,54877_pos
1,0,54116_pos,54116_pos
1,0,41336_pos,41336_pos
1,0,37574_pos,37574_pos
0.7889,44.026,48142_pos,48204_pos
1,0,14555_pos,14555_pos
1,0,14949_pos,14949_pos
0.9633,51.901,39588_pos,49723_pos
0.9626,1.945,40729_pos,49723_pos
1,0,10552_pos,10552_pos
0.8352,-44.026,31830_pos,32186_pos
0.8243,-44.026,26111_pos,31830_pos
0.8098,-132.079,30382_pos,31830_pos
0.8406,-44.026,31325_pos,31830_pos
0.7898,44.026,26883_pos,31830_pos
0.872,-88.053,25598_pos,31830_pos
0.8356,0,22683_pos,31830_pos
0.8394,-176.107,24335_pos,31830_pos
0.8051,-132.079,25158_pos,31830_pos
1,0,42251_pos,42251_pos
1,0,51590_pos,51590_pos
0.9164,16.998,7025_pos,8480_pos
0.9472,16.998,7025_pos,7039_pos
1,0,8355_pos,8355_pos
1,0,35870_pos,35870_pos
1,0,41488_pos,41488_pos
1,0,54056_pos,54056_pos
1,0,50548_pos,50548_pos
1,0,42535_pos,42535_pos
1,0,43641_pos,43641_pos
0.968,-28.031,49125_pos,51015_pos
0.9563,88.052,50929_pos,51015_pos
0.9786,15.995,49026_pos,51015_pos
0.9435,15.995,51015_pos,51687_pos
