cosine_score,mass_difference,node1,node2
0.8607,-192.1,10085_pos,12731_pos
0.9029,-44.026,11635_pos,12731_pos
0.8861,-132.079,9388_pos,12731_pos
1,0,24688_pos,24688_pos
0.91,32.026,30503_pos,31318_pos
0.9031,-32.026,31318_pos,32480_pos
1,0,39029_pos,39029_pos
0.9415,-44.026,17017_pos,17701_pos
0.8812,176.105,17701_pos,18425_pos
0.9284,88.053,17701_pos,19352_pos
0.9414,-44.026,17701_pos,18271_pos
0.899,-132.079,17496_pos,17701_pos
0.8887,132.079,17701_pos,19324_pos
0.96,0,17701_pos,20979_pos
0.9298,-88.052,17692_pos,17701_pos
0.9414,44.026,17701_pos,20217_pos
0.9089,-88.053,17701_pos,18822_pos
0.9839,0,8526_pos,9711_pos
0.986,-17.027,8546_pos,9711_pos
0.9768,-115.052,9711_pos,11999_pos
0.9835,-27,9711_pos,9753_pos
0.9794,-44.026,9711_pos,11452_pos
0.9803,-61.053,7219_pos,9711_pos
0.9768,-44.026,7082_pos,9711_pos
0.9739,-159.079,9711_pos,13547_pos
0.7822,-45.058,1435_pos,1436_pos
1,0,19835_pos,19835_pos
0.9265,-88.053,14575_pos,15745_pos
0.8825,-176.105,12960_pos,15745_pos
0.8899,-44.026,14986_pos,15745_pos
0.8338,-42.047,10595_pos,15662_pos
0.7562,0,15662_pos,24545_pos
0.8811,-14.019,20696_pos,25616_pos
0.9191,-0.006,20696_pos,20985_pos
0.9272,-0.002,20696_pos,22163_pos
0.9454,-62.015,20696_pos,38513_pos
0.9572,-12.934,4807_pos,20696_pos
1,0,46740_pos,46740_pos
0.865,-2.016,1130_pos,1896_pos
0.868,-2.016,1896_pos,2149_pos
0.8999,0,1683_pos,1870_pos
0.9113,0,32006_pos,36080_pos
0.9085,-44.026,14575_pos,14986_pos
0.8782,-132.079,12960_pos,14986_pos
0.934,0,4088_pos,4470_pos
1,0,21338_pos,21338_pos
0.8171,-281.199,20142_pos,22094_pos
0.964,44.027,18868_pos,20142_pos
0.7725,324.179,16591_pos,20142_pos
0.8137,-61.044,20142_pos,21505_pos
0.861,88.052,19586_pos,20142_pos
0.8887,-132.08,20142_pos,21172_pos
0.7662,42.011,16098_pos,20142_pos
0.8429,17.026,19831_pos,20142_pos
1,0,28600_pos,28600_pos
0.8226,-65.992,3914_pos,21868_pos
1,0,29401_pos,29401_pos
1,0,52439_pos,52439_pos
1,0,8045_pos,8045_pos
0.9077,45.03,23516_pos,26797_pos
0.9069,45.03,23516_pos,31738_pos
0.7094,15.995,16498_pos,20840_pos
0.9209,13.979,49469_pos,49756_pos
0.9194,-246.146,45482_pos,49469_pos
0.8989,-58.042,49469_pos,50184_pos
0.8816,-58.041,48680_pos,49469_pos
0.8952,-304.188,43353_pos,49469_pos
0.8932,-130.062,48277_pos,49469_pos
0.9273,-102.105,49469_pos,50916_pos
0.9013,-42.047,49469_pos,51106_pos
0.9264,-44.063,49469_pos,50442_pos
0.9108,-290.209,42985_pos,49469_pos
1,0,28890_pos,28890_pos
0.8802,-15.976,14425_pos,28836_pos
1,0,49373_pos,49373_pos
0.9569,-0.994,20347_pos,21612_pos
0.927,-30.01,2957_pos,3705_pos
0.8629,-30.01,2957_pos,8618_pos
0.8786,0,1320_pos,2957_pos
0.9743,0,2309_pos,2957_pos
1,0,51882_pos,51882_pos
0.8782,18.01,30863_pos,31789_pos
1,0,2596_pos,2596_pos
1,0,28528_pos,28528_pos
0.8007,44.026,40227_pos,42509_pos
0.7316,-12.036,42509_pos,47259_pos
0.7377,-10.021,42509_pos,46978_pos
0.9214,15.995,42509_pos,46375_pos
1,0,41633_pos,41633_pos
0.7752,-26.992,2521_pos,9103_pos
0.8727,-0.984,923_pos,1240_pos
0.8634,-15,923_pos,2839_pos
0.8508,-0.984,923_pos,1761_pos
0.8895,17.027,923_pos,3281_pos
0.7908,17.027,923_pos,5368_pos
0.7553,-8.065,13482_pos,15227_pos
0.7327,21.982,13482_pos,14331_pos
0.7299,21.982,13482_pos,13726_pos
0.7879,35.961,13482_pos,14113_pos
0.7038,22.044,13044_pos,13482_pos
0.7006,-22.044,13482_pos,15679_pos
1,0,889_pos,889_pos
1,0,4319_pos,4319_pos
0.8582,0,24182_pos,25995_pos
0.8023,2.016,24182_pos,27302_pos
0.8219,30.047,23451_pos,24182_pos
0.7812,18.011,24182_pos,33743_pos
0.824,-14.016,24182_pos,32067_pos
0.9522,0.008,28836_pos,29821_pos
0.9749,0.004,28111_pos,29821_pos
0.9093,-116.083,51557_pos,51862_pos
0.8715,-232.167,51347_pos,51862_pos
0.8621,-174.125,51385_pos,51862_pos
0.8615,-116.12,51112_pos,51862_pos
0.9188,-58.042,51784_pos,51862_pos
0.9371,15.995,17774_pos,34326_pos
0.8874,-73.089,6696_pos,34326_pos
0.7679,-49.983,15087_pos,23980_pos
0.8425,-49.983,15087_pos,19327_pos
0.8,-49.983,15087_pos,22529_pos
0.8275,-49.983,15087_pos,17027_pos
0.9495,0,15087_pos,17266_pos
0.8328,0,13104_pos,15087_pos
0.8491,0,40435_pos,43732_pos
0.7613,0,41903_pos,43732_pos
1,0,8824_pos,8824_pos
0.9362,-18.011,11556_pos,11740_pos
0.8114,-14.016,11507_pos,11556_pos
0.7194,-1.979,11556_pos,31059_pos
0.7571,0,11556_pos,54875_pos
1,0,24399_pos,24399_pos
1,0,44187_pos,44187_pos
0.9665,-125.015,7377_pos,8698_pos
0.9867,0,7377_pos,8288_pos
0.8685,-12.036,43702_pos,47153_pos
1,0,49323_pos,49323_pos
1,0,35243_pos,35243_pos
1,0,51818_pos,51818_pos
1,0,7322_pos,7322_pos
1,0,37328_pos,37328_pos
0.7711,-12.003,16596_pos,19019_pos
0.976,0.003,14547_pos,16596_pos
0.8441,-14.016,16596_pos,24188_pos
1,0,27489_pos,27489_pos
0.7098,-16.035,9172_pos,15080_pos
0.7781,-14.02,8879_pos,15080_pos
0.9524,-116.083,48277_pos,49756_pos
0.9284,-116.084,45482_pos,48277_pos
0.8947,-72.021,48277_pos,48680_pos
0.8755,-174.126,43353_pos,48277_pos
0.9175,-188.104,48277_pos,50184_pos
0.9299,-232.167,48277_pos,50916_pos
0.8954,-172.11,48277_pos,51106_pos
0.9499,-174.125,48277_pos,50442_pos
0.9806,-88.053,10293_pos,10550_pos
0.9796,-132.079,4823_pos,10293_pos
0.9786,44.026,10293_pos,10872_pos
0.9811,0,8363_pos,10293_pos
0.9781,-88.053,10293_pos,11333_pos
0.98,44.026,9191_pos,10293_pos
0.98,-132.079,10293_pos,11739_pos
0.8074,-45.058,4559_pos,6314_pos
0.8901,0,4872_pos,6314_pos
0.8368,-45.058,4950_pos,6314_pos
0.8644,-162.045,6314_pos,8878_pos
0.7181,28.031,46847_pos,48070_pos
0.7028,28.026,46847_pos,48957_pos
1,0,49494_pos,49494_pos
1,0,55134_pos,55134_pos
0.9116,0,33273_pos,36471_pos
0.9003,0,33273_pos,43055_pos
0.9525,0,10572_pos,12109_pos
0.7415,0.135,10867_pos,12109_pos
0.9757,0.036,34179_pos,35169_pos
0.921,0.036,34179_pos,39177_pos
0.9189,-0.036,33350_pos,34179_pos
0.92,0.036,34179_pos,38012_pos
0.9101,0.036,34179_pos,36629_pos
0.9436,0,34179_pos,41901_pos
1,0,8960_pos,8960_pos
1,0,42136_pos,42136_pos
1,0,46891_pos,46891_pos
0.8186,29.974,34417_pos,42490_pos
0.8312,-60.057,1512_pos,3471_pos
0.7886,-116.084,633_pos,3471_pos
0.8604,-58.042,739_pos,3471_pos
0.8354,-60.057,732_pos,3471_pos
0.9216,-2.016,3172_pos,3471_pos
0.8477,-57.039,1470_pos,3471_pos
0.8896,-58.042,1862_pos,3471_pos
0.9169,-93.079,11879_pos,19248_pos
0.966,-88.053,11879_pos,14372_pos
0.9776,-44.027,11879_pos,13015_pos
0.917,-49.053,11879_pos,18115_pos
0.904,-208.132,11879_pos,22157_pos
0.9174,-181.132,11879_pos,21366_pos
0.9208,-137.105,11879_pos,19988_pos
0.9231,-225.158,11879_pos,21917_pos
